idx,text,label
7,兴奋地抓着你的手臂摇晃,兴奋
9,兴奋地手都不知道放哪,兴奋
13,兴奋地原地小跑,兴奋
17,兴奋地拍桌子,兴奋
21,兴奋地跳着转圈,兴奋
24,兴奋地踢踏着脚,兴奋
28,兴奋地拍打胸口,兴奋
32,兴奋地拍打地面,兴奋
35,兴奋地拍打大腿,兴奋
37,兴奋地拍打抱枕,兴奋
41,兴奋地拍打桌面,兴奋
45,兴奋地拍打自己的腿,兴奋
48,兴奋地拍打椅背,兴奋
51,兴奋地拍打床铺,兴奋
57,兴奋地拍打冰箱门,兴奋
61,兴奋地拍打衣柜,兴奋
66,兴奋地拍打栏杆,兴奋
70,兴奋地拍打树干,兴奋
77,兴奋地拍打方向盘,兴奋
86,厌恶,厌恶
96,厌恶地撇开目光,厌恶
104,厌恶地撇了撇嘴角,厌恶
127,厌恶地撇嘴,厌恶
130,厌恶地后退一步,厌恶
132,厌恶地眯起眼,厌恶
134,厌恶地嘁了一声,厌恶
135,厌恶地移开视线,厌恶
138,厌恶地绷着脸,厌恶
141,厌恶地咬着下唇,厌恶
144,厌恶地憋着气,厌恶
146,厌恶地别过脸,厌恶
151,厌恶地抽嘴角,厌恶
154,厌恶地揪衣角,厌恶
156,厌恶地抿嘴唇,厌恶
161,厌恶地深呼吸又憋住,厌恶
244,害怕,害怕
247,害怕地后退一步,害怕
248,尾巴害怕地抖动,害怕
250,害怕地咬着嘴唇,害怕
254,害怕地蜷缩起身体,害怕
258,尾巴害怕地卷起来,害怕
259,害怕地睁大双眼,害怕
262,害怕地盯着地面,害怕
265,害怕地低下头,害怕
268,耳朵害怕地抖了一下,害怕
275,害怕得缩成一团,害怕
277,害怕地缩起肩膀,害怕
286,害怕地缩成一团,害怕
290,害怕地抱住自己,害怕
293,害怕地躲起来,害怕
296,害怕地哆嗦,害怕
299,害怕地闭紧眼,害怕
301,害怕地抓住衣角,害怕
304,害怕地紧贴墙壁,害怕
308,害怕地抱头蹲下,害怕
313,害怕地捂住耳朵,害怕
315,害怕地躲到角落,害怕
317,突然害羞,害羞
322,瞬间害羞到冒烟,害羞
325,害羞,害羞
333,害羞地玩着尾巴,害羞
339,害羞地别开视线,害羞
358,害羞地轻轻跺脚,害羞
364,害羞得不知道该说什么,害羞
367,尾巴害羞地缩起来,害羞
378,害羞得缩了缩脖子,害羞
380,尾巴害羞地摆动了一下,害羞
384,害羞地低下头去,害羞
387,害羞地摸了摸鼻子,害羞
394,耳朵害羞地轻轻垂下,害羞
395,害羞地捂住了脸,害羞
405,平静,平静
677,惊讶不已,惊讶
682,惊讶地瞪大眼,惊讶
692,惊讶地放下手中的东西,惊讶
701,慌张地摆手,慌张
703,慌张,慌张
708,慌张地低头,慌张
725,慌张地环顾四周,慌张
739,慌里慌张,慌张
758,慌张地搓手,慌张
760,慌张地打翻东西,慌张
761,慌张地结巴,慌张
762,慌张地走来走去,慌张
763,慌张地深呼吸,慌张
764,慌张地脸红,慌张
766,慌张地握紧又松开,慌张
769,慌张地语无伦次,慌张
776,担心地握紧双手,担心
787,担心地咬着下唇,担心
