text,label
高兴摇晃着尾巴,高兴
害羞地低头,害羞
认真思考,认真
突然害羞,害羞
瞬间脸红,害羞
慌乱地摆动着尾巴,慌张
小声嘟囔,害羞
突然站起来,慌张
捂着被敲的地方,害怕
耳朵耸拉下来,紧张
突然抬头眼睛亮晶晶,高兴
气鼓鼓地跺脚,生气
不服气地挺胸,认真
"突然想到什么,害羞地玩着尾巴",害羞
慌张地摆手,慌张
耳朵紧张地抖动,紧张
小声,害羞
突然扑过来,兴奋
惊恐地炸毛,害怕
躲到你身后发抖,害怕
带着哭腔,害怕
厌恶地皱起鼻子,厌恶
认真思考,认真
突然打了个寒颤,害怕
躲进你怀里,害怕
松了口气,平静
歪着头思考,认真
做出夸张的嫌弃表情,厌恶
突然破功笑出来,高兴
瞬间手足无措,慌张
耳朵紧张地抖动,紧张
结结巴巴,紧张
脸红到耳根,害羞
炸毛,生气
气呼呼地鼓起脸颊,生气
瞬间害羞到冒烟,害羞
把脸埋进尾巴里,害羞
惊慌失措,慌张
超小声,害羞
从指缝里偷看你,害羞
瞬间呆住,惊讶
眼泪汪汪,害怕
凶巴巴但毫无威慑力,生气
扑进你怀里蹭蹭,高兴
困惑地歪头,疑惑
突然眼睛一亮,高兴
害羞地清清嗓子,害羞
突然忘词卡壳,紧张
急得直跺脚,紧张
灵光一闪,自信
好奇地竖起耳朵,疑惑
歪着头,疑惑
高兴,高兴
摇晃着尾巴,高兴
眼睛亮晶晶,高兴
开心地摇耳朵,高兴
扑进你怀里,高兴
兴奋地拍手,高兴
蹦蹦跳跳,高兴
轻快地甩尾巴,高兴
眯起眼睛笑,高兴
露出小虎牙,高兴
欢快地转圈,高兴
眼睛弯成月牙,高兴
耳朵兴奋地抖动,高兴
尾巴摇成风扇,高兴
轻轻拍你,高兴
嘴角上扬,高兴
得意地挺胸,高兴
兴奋地扑腾爪子,高兴
双手抱拳欢呼,高兴
露出小尖牙,高兴
蹦蹦跳跳地转圈,高兴
尾巴高高翘起,高兴
耳朵竖得笔直,高兴
轻轻摇晃尾巴,高兴
雀跃地扑腾,高兴
兴奋地挥手,高兴
嘴角止不住地上扬,高兴
兴奋地拍着爪子,高兴
扑进你怀里蹭蹭,高兴
轻轻靠近你,高兴
迫不及待地点头,高兴
摇头晃脑,高兴
抱着尾巴转圈,高兴
小爪子比心,高兴
尾巴翘得更高了,高兴
开心地轻轻哼歌,高兴
扑闪着大眼睛,高兴
咧开嘴露出小尖牙,高兴
晃晃耳朵,高兴
悄悄拽住你的衣角,高兴
尾巴甩得更快了,高兴
耳朵兴奋地颤抖,高兴
站在原地蹦蹦跳跳,高兴
张开双手迎接你,高兴
啪嗒啪嗒拍爪子,高兴
偷偷笑出声,高兴
高高扬起脑袋,高兴
露出满足的笑容,高兴
开心地摇摆身体,高兴
尾巴晃得停不下来,高兴
发出轻快的哼声,高兴
眼神充满期待,高兴
小声哼着歌,高兴
抖着耳朵笑,高兴
激动地扑腾着尾巴,高兴
高高跃起,高兴
转圈圈转个不停,高兴
轻轻拽住你的手,高兴
跳起来抱住你,高兴
笑出声来,高兴
轻轻贴近你,高兴
激动得耳朵抖动,高兴
捧着脸开心地眯眼,高兴
拍拍爪子,高兴
摆动着尾巴蹦跶,高兴
嘴角弯得更深了,高兴
软绵绵地趴在你身上,高兴
大眼睛扑闪扑闪,高兴
耳朵微微抖动,高兴
轻快地摇着尾巴,高兴
不自觉地翘起嘴角,高兴
小跑着靠近你,高兴
轻轻依偎在你身旁,高兴
伸出爪子碰碰你,高兴
眼睛闪闪发光,高兴
抖抖耳朵露出微笑,高兴
开心地晃着脑袋,高兴
嘴角勾起弧度,高兴
兴奋地抓住你的手,高兴
扑闪着睫毛,高兴
尾巴摇得像风车,高兴
紧紧抱住尾巴,高兴
满足地舔舔嘴唇,高兴
脚尖轻轻踮起,高兴
双手合十露出笑容,高兴
露出幸福的表情,高兴
蹦蹦跳跳地走动,高兴
轻轻碰了碰你的脸,高兴
脸上洋溢着笑意,高兴
轻轻眨眼,高兴
摇着尾巴贴近你,高兴
开心地伸个懒腰,高兴
轻轻拍打爪子,高兴
嘴巴微微上扬,高兴
偷偷踮脚靠近你,高兴
嘴角微微翘起,高兴
眼里满是笑意,高兴
轻轻拍着自己的脸颊,高兴
尾巴甩来甩去,高兴
雀跃地跳了两下,高兴
满足地眯起眼睛,高兴
轻快地晃晃身体,高兴
害羞,害羞
低头不敢看你,害羞
耳朵微微垂下,害羞
悄悄躲在你身后,害羞
轻轻拉住衣角,害羞
脸颊泛红,害羞
偷偷瞄了你一眼,害羞
小声嘟囔,害羞
手指轻轻绞在一起,害羞
偷偷撇开目光,害羞
捏了捏自己的衣角,害羞
害羞地玩着尾巴,害羞
轻轻扭动身体,害羞
脸颊通红,害羞
耳朵害羞地抖了抖,害羞
手足无措地站着,害羞
小小声地回答,害羞
轻轻用尾巴遮住脸,害羞
害羞地别开视线,害羞
悄悄往后退了一步,害羞
耳朵轻轻抖动,害羞
嘴角微微颤抖,害羞
不知所措地低下头,害羞
轻轻用爪子挡住脸,害羞
耳朵害羞地耷拉下来,害羞
悄悄捂住自己的脸,害羞
脸颊烧得通红,害羞
小声地嘀咕,害羞
紧张地揪着衣服,害羞
不安地踢了踢地面,害羞
脸红着轻轻点头,害羞
手指轻轻戳着衣角,害羞
偷瞄了一眼又迅速移开,害羞
害羞地捂住嘴巴,害羞
